County,State,Outbreak Date,Flock Type,Flock Size
Faulk,South Dakota,11/23/2022,Commercial Turkey Meat Bird,49900
Davidson,Tennessee,11/23/2022,WOAH Non-Poultry,10
Todd,Minnesota,11/23/2022,Commercial Turkey Meat Bird,44500
Broward,Florida,11/23/2022,WOAH Non-Poultry,10
Brule,South Dakota,11/23/2022,WOAH Non-Poultry,30
Mchenry,North Dakota,11/22/2024,WOAH Poultry,80
Merced,California,11/22/2024,Commercial Table Egg Pullets,538600
Brule,South Dakota,11/22/2023,Commercial Turkey Meat Bird,45100
Trempealeau,Wisconsin,11/22/2023,Commercial Turkey Meat Bird,51300
Stearns,Minnesota,11/22/2023,Commercial Turkey Meat Bird,34200
Otter Tail,Minnesota,11/22/2023,Commercial Turkey Meat Bird,28000
Beadle,South Dakota,11/22/2022,Commercial Turkey Meat Bird,29200
Webster,Missouri,11/22/2022,WOAH Poultry,9100
Roger Mills,Oklahoma,11/21/2024,WOAH Non-Poultry,0
Madera,California,11/21/2024,WOAH Non-Poultry,0
Lemhi,Idaho,11/21/2024,WOAH Non-Poultry,20
Piute,Utah,11/21/2024,Commercial Turkey Meat Bird,35500
Maricopa,Arizona,11/21/2024,WOAH Non-Poultry,490
Tulare,California,11/21/2024,Commercial Duck Meat Bird,96900
Salt Lake,Utah,11/21/2024,WOAH Non-Poultry,30
Beadle,South Dakota,11/21/2023,Commercial Turkey Meat Bird,78200
Grimes,Texas,11/21/2023,WOAH Non-Poultry,60
Kingsbury,South Dakota,11/21/2023,Commercial Turkey Meat Bird,28800
Union,Ohio,11/21/2023,Commercial Table Egg Layer,1348900
Clark,South Dakota,11/21/2023,Commercial Turkey Meat Bird,23600
Clark,South Dakota,11/21/2023,Commercial Turkey Meat Bird,57400
Broward,Florida,11/21/2023,WOAH Non-Poultry,5
Caroline,Maryland,11/21/2023,Commercial Broiler Production,192900
Sumter,Georgia,11/21/2023,Commercial Raised for Release Waterfowl,30000
Big Stone,Minnesota,11/21/2023,Commercial Turkey Meat Bird,78500
Kandiyohi,Minnesota,11/21/2023,Commercial Breeder Operation,8400
Brown,Minnesota,11/21/2023,Commercial Turkey Breeder Hens,6400
Washington,Maine,11/21/2022,WOAH Non-Poultry,90
Edmunds,South Dakota,11/21/2022,Commercial Turkey Meat Bird,34400
Matanuska Susitna,Alaska,11/20/2024,WOAH Non-Poultry,40
Kern,California,11/20/2024,Commercial Table Egg Layer,1022400
Marin,California,11/20/2024,Commercial Duck Meat Bird,6500
Edmunds,South Dakota,11/20/2023,Commercial Turkey Breeder Replacement Hens,30100
Edmunds,South Dakota,11/20/2023,Commercial Turkey Meat Bird,33400
Edmunds,South Dakota,11/20/2023,Commercial Turkey Breeder Hens,19200
Day,South Dakota,11/20/2023,WOAH Poultry,60
Taylor,Wisconsin,11/20/2023,WOAH Non-Poultry,8
Fresno,California,11/20/2023,Commercial Duck Breeder,23400
Swift,Minnesota,11/20/2023,Commercial Turkey Meat Bird,134300
Walworth,South Dakota,11/20/2023,WOAH Non-Poultry,0
San Juan,New Mexico,11/20/2023,WOAH Non-Poultry,20
Lake,South Dakota,11/19/2024,WOAH Non-Poultry,20
Merced,California,11/19/2024,Commercial Turkey Meat Bird,38200
Fresno,California,11/19/2024,Commercial Broiler Production,172800
Henry,Illinois,11/19/2024,WOAH Poultry,5600
Whatcom,Washington,11/19/2024,WOAH Non-Poultry,40
Martin,Minnesota,11/18/2024,WOAH Non-Poultry,40
Honolulu,Hawaii,11/18/2024,WOAH Non-Poultry,9
Martin,Minnesota,11/18/2024,WOAH Non-Poultry,30
Utah,Utah,11/18/2022,WOAH Non-Poultry,270
Union,North Carolina,11/18/2022,WOAH Non-Poultry,50
Fall River,South Dakota,11/17/2023,WOAH Non-Poultry,80
Berks,Pennsylvania,11/17/2022,WOAH Non-Poultry,30
Broward,Florida,11/17/2022,WOAH Non-Poultry,20
Stearns,Minnesota,11/16/2023,Commercial Turkey Meat Bird,43100
Marion,Oregon,11/16/2023,Commercial Broiler Production,123500
Linn,Oregon,11/16/2023,Commercial Broiler Production,630700
Benton,Iowa,11/16/2023,WOAH Non-Poultry,90
Duval,Florida,11/16/2023,WOAH Non-Poultry,50
Seminole,Florida,11/16/2022,WOAH Poultry,100
Hillsborough,Florida,11/16/2022,WOAH Non-Poultry,100
Fresno,California,11/16/2022,Commercial Duck Breeder,34700
Piute,Utah,11/15/2024,Commercial Turkey Meat Bird,35000
Honolulu,Hawaii,11/15/2024,WOAH Non-Poultry,70
Stanislaus,California,11/15/2024,Commercial Turkey Meat Bird,21500
Edmunds,South Dakota,11/15/2023,Commercial Turkey Breeder Replacement Hens,24500
Cass,Michigan,11/15/2023,WOAH Non-Poultry,20
Mcintosh,North Dakota,11/15/2023,WOAH Poultry,100
Lamoure,North Dakota,11/15/2023,Commercial Turkey Meat Bird,25100
Duval,Florida,11/15/2022,WOAH Non-Poultry,30
Bledsoe,Tennessee,11/15/2022,Commercial Broiler Breeder,20900
Otter Tail,Minnesota,11/15/2022,Commercial Turkey Meat Bird,28200
Merced,California,11/14/2024,Commercial Turkey Meat Bird,53200
Kings,California,11/14/2024,WOAH Non-Poultry,8
Kings,California,11/14/2024,Commercial Broiler Production,279300
Kings,California,11/14/2024,Commercial Broiler Production,53300
San Joaquin,California,11/14/2024,Commercial Broiler Production,29100
Fresno,California,11/14/2024,Commercial Turkey Meat Bird,17700
Fresno,California,11/14/2024,Commercial Turkey Meat Bird,39600
Weld,Colorado,11/14/2024,WOAH Non-Poultry,80
Fresno,California,11/14/2024,Commercial Broiler Production,259000
Fresno,California,11/14/2024,Commercial Turkey Meat Bird,17500
Jasper,Missouri,11/14/2023,Commercial Turkey Meat Bird,29300
Redwood,Minnesota,11/14/2023,Commercial Turkey Meat Bird,18700
Deschutes,Oregon,11/14/2023,WOAH Non-Poultry,30
Marion,Oregon,11/14/2023,WOAH Non-Poultry,5
Missoula,Montana,11/14/2023,WOAH Non-Poultry,4
Kossuth,Iowa,11/14/2023,WOAH Poultry,13000
Jones,Iowa,11/14/2023,WOAH Non-Poultry,20
Cerro Gordo,Iowa,11/14/2023,WOAH Non-Poultry,80
Ellis,Texas,11/14/2023,WOAH Non-Poultry,50
Kandiyohi,Minnesota,11/14/2023,Commercial Turkey Meat Bird,35600
Taylor,Iowa,11/14/2023,Commercial Table Egg Layer,1121100
Lowndes,Mississippi,11/14/2022,WOAH Non-Poultry,8
Malheur,Oregon,11/13/2024,WOAH Non-Poultry,8
Pinal,Arizona,11/13/2024,Commercial Table Egg Layer,829200
Montrose,Colorado,11/13/2023,WOAH Non-Poultry,50
Bonneville,Idaho,11/13/2023,WOAH Non-Poultry,50
Mcintosh,North Dakota,11/13/2023,WOAH Non-Poultry,50
Fresno,California,11/12/2024,Commercial Turkey Meat Bird,34800
Fresno,California,11/12/2024,Commercial Broiler Production,237700
Tulare,California,11/12/2024,WOAH Non-Poultry,120
Kern,California,11/12/2024,Commercial Table Egg Layer,2155100
