State,Outbreak Date,Production,Species,Production Type Name
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
Texas,12/13/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/12/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/11/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/11/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/6/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/6/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/6/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/6/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/6/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/6/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/6/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/6/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/6/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/27/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/27/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/27/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/27/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/27/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/21/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/2/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/27/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/2/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/27/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/5/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
Nevada,12/6/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/2/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/2/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/19/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/27/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/2/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/27/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/27/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/27/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/24/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
Colorado,8/5/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/27/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/21/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/21/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/20/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/22/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/20/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/27/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/19/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/27/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/21/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/15/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/20/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/15/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/6/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/19/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/21/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/24/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/19/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/19/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/15/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/25/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/20/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/19/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,11/19/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
